Datetime,Collection_Slug,Floor_Price
,,
25/12/2021 22:00,slotienft,0.465
25/12/2021 22:00,billionairezombiesclub,0.074999
26/12/2021 17:30,bigtime-founders,0.27
25/12/2021 22:10,slotienft,0.465
25/12/2021 22:10,billionairezombiesclub,0.074999
25/12/2021 22:10,boredapeyachtclub,55.95
25/12/2021 22:10,adidasoriginals,1.47
25/12/2021 22:10,veefriends,9.0
25/12/2021 22:10,derace-ticket,2.74
25/12/2021 22:10,zed-run-official,0.0096
25/12/2021 22:10,derace-horses,0.795
26/12/2021 17:40,bigtime-founders,0.27
25/12/2021 22:20,slotienft,0.465
25/12/2021 22:20,billionairezombiesclub,0.074999
25/12/2021 22:20,boredapeyachtclub,55.95
25/12/2021 22:20,adidasoriginals,1.47
25/12/2021 22:20,veefriends,9.0
25/12/2021 22:20,derace-ticket,2.74
25/12/2021 22:20,zed-run-official,0.0097
25/12/2021 22:20,derace-horses,0.795
26/12/2021 20:30,bigtime-founders,0.27
25/12/2021 22:30,slotienft,0.41
25/12/2021 22:30,billionairezombiesclub,0.074999
25/12/2021 22:30,boredapeyachtclub,55.95
25/12/2021 22:30,adidasoriginals,1.47
25/12/2021 22:30,veefriends,9.0
25/12/2021 22:30,derace-ticket,2.74
25/12/2021 22:30,zed-run-official,0.0089
25/12/2021 22:30,derace-horses,0.795
26/12/2021 20:40,bigtime-founders,0.27
25/12/2021 22:40,slotienft,0.41
25/12/2021 22:40,billionairezombiesclub,0.074999
25/12/2021 22:40,boredapeyachtclub,55.95
25/12/2021 22:40,adidasoriginals,0.728
25/12/2021 22:40,veefriends,9.0
25/12/2021 22:40,derace-ticket,2.74
25/12/2021 22:40,zed-run-official,0.0089
25/12/2021 22:40,derace-horses,0.795
26/12/2021 21:00,bigtime-founders,0.27
25/12/2021 22:50,slotienft,0.44
25/12/2021 22:50,billionairezombiesclub,0.074999
25/12/2021 22:50,boredapeyachtclub,55.95
25/12/2021 22:50,adidasoriginals,0.715
25/12/2021 22:50,veefriends,9.0
25/12/2021 22:50,derace-ticket,2.74
25/12/2021 22:50,zed-run-official,0.0097
25/12/2021 22:50,derace-horses,0.795
26/12/2021 22:10,bigtime-founders,0.2699
25/12/2021 23:00,slotienft,0.44
25/12/2021 23:00,billionairezombiesclub,0.074999
25/12/2021 23:00,boredapeyachtclub,55.95
25/12/2021 23:00,adidasoriginals,0.727
25/12/2021 23:00,veefriends,9.0
25/12/2021 23:00,derace-ticket,2.74
25/12/2021 23:00,zed-run-official,0.0097
25/12/2021 23:00,derace-horses,0.795
26/12/2021 17:50,bigtime-founders,0.269
25/12/2021 23:30,slotienft,0.4399
25/12/2021 23:30,billionairezombiesclub,0.074999
25/12/2021 23:30,boredapeyachtclub,55.95
25/12/2021 23:30,adidasoriginals,1.47
25/12/2021 23:30,veefriends,9.0
25/12/2021 23:30,derace-ticket,2.74
25/12/2021 23:30,zed-run-official,0.0097
25/12/2021 23:30,derace-horses,0.795
27/12/2021 00:40,bigtime-founders,0.268
25/12/2021 23:40,slotienft,0.4399
25/12/2021 23:40,billionairezombiesclub,0.074999
25/12/2021 23:40,boredapeyachtclub,55.95
25/12/2021 23:40,adidasoriginals,1.47
25/12/2021 23:40,veefriends,9.0
25/12/2021 23:40,derace-ticket,2.74
25/12/2021 23:40,zed-run-official,0.0097
25/12/2021 23:40,derace-horses,0.795
27/12/2021 00:50,bigtime-founders,0.268
25/12/2021 23:50,slotienft,0.4399
25/12/2021 23:50,billionairezombiesclub,0.074999
25/12/2021 23:50,boredapeyachtclub,55.95
25/12/2021 23:50,adidasoriginals,1.47
25/12/2021 23:50,veefriends,9.0
25/12/2021 23:50,derace-ticket,2.74
25/12/2021 23:50,zed-run-official,0.0097
25/12/2021 23:50,derace-horses,0.795
27/12/2021 01:00,bigtime-founders,0.268
26/12/2021 00:00,slotienft,0.44
26/12/2021 00:00,billionairezombiesclub,0.074999
26/12/2021 00:00,boredapeyachtclub,55.95
26/12/2021 00:00,adidasoriginals,1.47
26/12/2021 00:00,veefriends,9.0
26/12/2021 00:00,derace-ticket,2.74
26/12/2021 00:00,zed-run-official,0.009745
26/12/2021 00:00,derace-horses,0.795
26/12/2021 17:10,bigtime-founders,0.267
26/12/2021 00:10,slotienft,0.44
26/12/2021 00:10,billionairezombiesclub,0.074999
26/12/2021 00:10,boredapeyachtclub,55.95
26/12/2021 00:10,adidasoriginals,0.735
26/12/2021 00:10,veefriends,9.0
26/12/2021 00:10,derace-ticket,2.74
26/12/2021 00:10,zed-run-official,0.0098
26/12/2021 00:10,derace-horses,0.795
26/12/2021 17:20,bigtime-founders,0.267
26/12/2021 00:20,slotienft,0.44
26/12/2021 00:20,billionairezombiesclub,0.074999
26/12/2021 00:20,boredapeyachtclub,55.95
26/12/2021 00:20,adidasoriginals,1.47
26/12/2021 00:20,veefriends,9.0
26/12/2021 00:20,derace-ticket,2.74
26/12/2021 00:20,zed-run-official,0.009899
26/12/2021 00:20,derace-horses,0.795
27/12/2021 01:10,bigtime-founders,0.267
26/12/2021 00:30,slotienft,0.44
26/12/2021 00:30,billionairezombiesclub,0.074999
26/12/2021 00:30,boredapeyachtclub,55.95
26/12/2021 00:30,adidasoriginals,1.47
26/12/2021 00:30,veefriends,9.0
26/12/2021 00:30,derace-ticket,2.74
26/12/2021 00:30,zed-run-official,0.009899
26/12/2021 00:30,derace-horses,0.795
27/12/2021 01:20,bigtime-founders,0.267
